group,variable,value
United Kingdom,Azerbaijan,0.025
United Kingdom,Kosovo,0.170
United Kingdom,Kyrgyz Republic,0.125
United Kingdom,Lesotho,0.467
United Kingdom,Mauritius,0.479
United Kingdom,Cuba,1.065
United Kingdom,Central African Republic,0.020
United Kingdom,"Macedonia, FYR",0.088
United Kingdom,Guinea-Bissau,0.015
United Kingdom,Guyana,0.816
United Kingdom,Tajikistan,0.097
United Kingdom,Eritrea,0.075
United Kingdom,Croatia,0.021
United Kingdom,Moldova,0.067
United Kingdom,Djibouti,0.004
United Kingdom,Bhutan,0.008
United Kingdom,Swaziland,0.327
United Kingdom,Uruguay,0.004
United Kingdom,Gambia,0.212
United Kingdom,Samoa,0.004
United Kingdom,Belize,0.481
United Kingdom,Turkmenistan,0.004
United Kingdom,Comoros,0.001
United Kingdom,Libya,0.072
United Kingdom,Belarus,0.011
United Kingdom,Maldives,0.015
Canada,Indonesia,3.119
Canada,India,3.659
Canada,Egypt,1.743
Canada,China,2.512
Canada,Iraq,1.108
Canada,Pakistan,4.286
Canada,Philippines,1.024
Canada,Bangladesh,5.371
Canada,Israel,0.013
Canada,Afghanistan,2.829
Canada,Viet Nam,0.802
Canada,Russia,0.328
Canada,Tanzania,3.138
Canada,Thailand,0.837
Canada,Mozambique,1.692
Canada,Turkey,0.422
Canada,Nigeria,0.630
Canada,Kenya,1.694
Canada,Brazil,0.344
Canada,Morocco,0.877
Canada,"Congo, Democratic Republic of",1.478
Canada,Mexico,0.140
Canada,Ethiopia,2.239
Canada,Sri Lanka,1.503
Canada,Sudan,1.162
Canada,Peru,1.134
Canada,Papua New Guinea,0.007
Canada,Zambia,1.218
Canada,Ghana,2.432
Canada,Jordan,0.421
Canada,Colombia,0.671
Canada,Poland,1.308
Canada,Tunisia,0.761
Canada,Cameroon,2.268
Canada,Cote d`Ivoire,1.285
Canada,Uganda,0.336
Canada,Bolivia,0.583
Canada,Malaysia,0.199
Canada,Senegal,1.632
Canada,Palestinian Adm. Areas,0.641
Canada,Nicaragua,0.463
